index,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,ALE,Min_ALE,Max_ALE,US_ALE,All_Death,Min_All_Death,Max_All_Death,US_All_Death,CI_Min_All_Death,CI_Max_All_Death,Health_Status,Min_Health_Status,Max_Health_Status,US_Health_Status,CI_Min_Health_Status,CI_Max_Health_Status,Unhealthy_Days,Min_Unhealthy_Days,Max_Unhealthy_Days,US_Unhealthy_Days,CI_Min_Unhealthy_Days,CI_Max_Unhealthy_Days
2728,48,415,Scurry,Texas,TX,42,76.2,73.3,77.8,76.5,917.8,827.1,1110.4,898.6,874.7,960.9,-1111.1,13.0,29.3,17.1,-1111.1,-1111.1,-1111.1,4.7,8.2,6,-1111.1,-1111.1
2729,48,417,Shackelford,Texas,TX,85,76.2,75.2,78.4,76.5,995.8,704.3,993.5,898.6,903.3,1088.2,-1111.1,8.5,24.5,17.1,-1111.1,-1111.1,-1111.1,3.1,7.8,6,-1111.1,-1111.1
2730,48,419,Shelby,Texas,TX,72,73.1,73.6,75.2,76.5,1044.6,953.7,1095.1,898.6,1007.9,1081.3,-1111.1,18.2,34.9,17.1,-1111.1,-1111.1,-1111.1,6.1,9.6,6,-1111.1,-1111.1
2731,48,421,Sherman,Texas,TX,80,77.3,75.8,80.8,76.5,866.8,611.2,988.8,898.6,765.2,968.3,-1111.1,6.4,23.1,17.1,-1111.1,-1111.1,-1111.1,3.4,7.4,6,-1111.1,-1111.1
2732,48,423,Smith,Texas,TX,6,76.0,73.5,77.3,76.5,905.4,829.9,1032.7,898.6,881.0,929.9,18.7,12.7,21.7,17.1,14.6,22.8,5.5,5.2,7.6,6,4.5,6.6
2733,48,425,Somervell,Texas,TX,42,75.2,73.3,77.8,76.5,961.0,827.1,1110.4,898.6,888.1,1033.8,-1111.1,13.0,29.3,17.1,-1111.1,-1111.1,-1111.1,4.7,8.2,6,-1111.1,-1111.1
2734,48,427,Starr,Texas,TX,8,79.6,72.2,75.6,76.5,713.2,911.7,1136.1,898.6,674.0,752.4,-1111.1,16.5,29.4,17.1,-1111.1,-1111.1,-1111.1,5.5,8.7,6,-1111.1,-1111.1
2735,48,429,Stephens,Texas,TX,74,75.0,73.3,76.9,76.5,951.3,854.9,1097.1,898.6,896.5,1006.1,-1111.1,10.8,33.7,17.1,-1111.1,-1111.1,-1111.1,3.0,11.3,6,-1111.1,-1111.1
2736,48,431,Sterling,Texas,TX,80,76.2,75.8,80.8,76.5,720.0,611.2,988.8,898.6,585.3,854.6,-1111.1,6.4,23.1,17.1,-1111.1,-1111.1,-1111.1,3.4,7.4,6,-1111.1,-1111.1
2737,48,433,Stonewall,Texas,TX,84,77.0,75.9,78.8,76.5,853.6,702.9,929.2,898.6,743.4,963.9,-1111.1,9.7,19.1,17.1,-1111.1,-1111.1,-1111.1,3.1,6.4,6,-1111.1,-1111.1
2738,48,435,Sutton,Texas,TX,83,76.9,75.3,78.2,76.5,985.3,714.9,1192.1,898.6,881.7,1088.8,-1111.1,6.0,36.6,17.1,-1111.1,-1111.1,-1111.1,4.6,9.3,6,-1111.1,-1111.1
2739,48,437,Swisher,Texas,TX,74,76.3,73.3,76.9,76.5,928.5,854.9,1097.1,898.6,866.5,990.6,-1111.1,10.8,33.7,17.1,-1111.1,-1111.1,-1111.1,3.0,11.3,6,-1111.1,-1111.1
2740,48,439,Tarrant,Texas,TX,1,76.3,75.6,79.2,76.5,907.1,694.4,924.7,898.6,896.4,917.8,16.3,11.9,20.2,17.1,14.5,18.1,5.7,5.3,6.9,6,5.2,6.1
2741,48,441,Taylor,Texas,TX,6,76.0,73.5,77.3,76.5,960.2,829.9,1032.7,898.6,928.5,991.8,19.0,12.7,21.7,17.1,13.9,24.2,7.3,5.2,7.6,6,5.7,9.0
